Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:stone,1,0,false,石头
minecraft:grass,2,0,false,草方块
minecraft:dirt,3,0,false,泥土
minecraft:dirt,3,2,false,灰化土
minecraft:cobblestone,4,0,false,圆石
minecraft:planks,5,0,false,橡木木板
minecraft:planks,5,1,false,云杉木板
minecraft:planks,5,2,false,白桦木板
minecraft:planks,5,3,false,丛林木板
minecraft:planks,5,4,false,金合欢木板
minecraft:planks,5,5,false,深色橡木木板
minecraft:sapling,6,0,false,橡树树苗
minecraft:sapling,6,1,false,云杉树苗
minecraft:sapling,6,2,false,白桦树苗
minecraft:sapling,6,3,false,丛林树苗
minecraft:sapling,6,4,false,金合欢树苗
minecraft:sapling,6,5,false,深色橡树树苗
minecraft:bedrock,7,0,false,基岩
minecraft:flowing_water,8,0,false,水
minecraft:flowing_lava,10,0,false,岩浆
minecraft:sand,12,0,false,沙子
minecraft:sand,12,1,false,红沙
minecraft:gravel,13,0,false,沙砾
minecraft:gold_ore,14,0,false,金矿石
minecraft:iron_ore,15,0,false,铁矿石
minecraft:coal_ore,16,0,false,煤矿石
minecraft:log,17,0,false,橡木
minecraft:log,17,1,false,云杉木
minecraft:log,17,2,false,白桦木
minecraft:log,17,3,false,丛林木
minecraft:leaves,18,0,false,橡树树叶
minecraft:leaves,18,1,false,云杉树叶
minecraft:leaves,18,2,false,白桦树叶
minecraft:leaves,18,3,false,丛林树叶
minecraft:sponge,19,0,false,海绵
minecraft:glass,20,0,false,玻璃
minecraft:lapis_ore,21,0,false,青金石矿石
minecraft:lapis_block,22,0,false,青金石块
minecraft:dispenser,23,0,false,发射器
minecraft:sandstone,24,0,false,沙石
minecraft:sandstone,24,1,false,錾制沙石
minecraft:sandstone,24,2,false,平滑沙石
minecraft:noteblock,25,0,false,音符盒
minecraft:golden_rail,27,0,false,推进轨道
minecraft:detector_rail,28,0,false,感应轨道
minecraft:sticky_piston,29,0,false,粘性活塞
minecraft:web,30,0,false,蜘蛛网
minecraft:tallgrass,31,1,false,草
minecraft:tallgrass,31,2,false,蕨
minecraft:deadbush,32,0,false,枯死的灌木
minecraft:piston,33,0,false,活塞
minecraft:wool,35,0,false,羊毛
minecraft:wool,35,1,false,橙色羊毛
minecraft:wool,35,2,false,品红色羊毛
minecraft:wool,35,3,false,淡蓝色羊毛
minecraft:wool,35,4,false,黄色羊毛
minecraft:wool,35,5,false,黄绿色羊毛
minecraft:wool,35,6,false,粉红色羊毛
minecraft:wool,35,7,false,灰色羊毛
minecraft:wool,35,8,false,淡灰色羊毛
minecraft:wool,35,9,false,青色羊毛
minecraft:wool,35,10,false,紫色羊毛
minecraft:wool,35,11,false,蓝色羊毛
minecraft:wool,35,12,false,棕色羊毛
minecraft:wool,35,13,false,绿色羊毛
minecraft:wool,35,14,false,红色羊毛
minecraft:wool,35,15,false,黑色羊毛
minecraft:yellow_flower,37,0,false,蒲公英
minecraft:red_flower,38,0,false,罂粟
minecraft:red_flower,38,1,false,兰花
minecraft:red_flower,38,2,false,绒球葱
minecraft:red_flower,38,3,false,茜草花
minecraft:red_flower,38,4,false,红色郁金香
minecraft:red_flower,38,5,false,橙色郁金香
minecraft:red_flower,38,6,false,白色郁金香
minecraft:red_flower,38,7,false,粉红色郁金香
minecraft:red_flower,38,8,false,滨菊
minecraft:brown_mushroom,39,0,false,蘑菇
minecraft:red_mushroom,40,0,false,蘑菇
minecraft:gold_block,41,0,false,金块
minecraft:iron_block,42,0,false,铁块
minecraft:stone_slab,44,0,false,石台阶
minecraft:stone_slab,44,1,false,沙石台阶
minecraft:stone_slab,44,3,false,圆石台阶
minecraft:stone_slab,44,4,false,砖台阶
minecraft:stone_slab,44,5,false,石砖台阶
minecraft:stone_slab,44,6,false,地狱砖台阶
minecraft:stone_slab,44,7,false,石英台阶
minecraft:brick_block,45,0,false,砖块
minecraft:tnt,46,0,false,TNT
minecraft:bookshelf,47,0,false,书架
minecraft:mossy_cobblestone,48,0,false,苔石
minecraft:obsidian,49,0,false,黑曜石
minecraft:torch,50,0,false,火把
minecraft:mob_spawner,52,90,false,刷怪箱
minecraft:mob_spawner,52,90,false,刷怪箱
minecraft:oak_stairs,53,0,false,橡木楼梯
minecraft:chest,54,0,false,箱子
minecraft:diamond_ore,56,0,false,钻石矿石
minecraft:diamond_block,57,0,false,钻石块
minecraft:crafting_table,58,0,false,工作台
minecraft:farmland,60,0,false,耕地
minecraft:furnace,61,0,false,熔炉
minecraft:lit_furnace,62,0,false,熔炉
minecraft:ladder,65,0,false,梯子
minecraft:rail,66,0,false,轨道
minecraft:stone_stairs,67,0,false,石楼梯
minecraft:lever,69,0,false,拉杆
minecraft:stone_pressure_plate,70,0,false,压力板
minecraft:wooden_pressure_plate,72,0,false,压力板
minecraft:redstone_ore,73,0,false,红石矿石
minecraft:redstone_torch,76,0,false,红石火把
minecraft:stone_button,77,0,false,按钮
minecraft:snow_layer,78,0,false,雪
minecraft:ice,79,0,false,冰
minecraft:snow,80,0,false,雪
minecraft:cactus,81,0,false,仙人掌
minecraft:clay,82,0,false,粘土块
minecraft:jukebox,84,0,false,唱片机
minecraft:fence,85,0,false,栅栏
minecraft:pumpkin,86,0,false,南瓜
minecraft:netherrack,87,0,false,地狱岩
minecraft:soul_sand,88,0,false,灵魂沙
minecraft:glowstone,89,0,false,萤石
minecraft:lit_pumpkin,91,0,false,南瓜灯
minecraft:stained_glass,95,0,false,白色染色玻璃
minecraft:stained_glass,95,1,false,橙色染色玻璃
minecraft:stained_glass,95,2,false,品红色染色玻璃
minecraft:stained_glass,95,3,false,淡蓝色染色玻璃
minecraft:stained_glass,95,4,false,黄色染色玻璃
minecraft:stained_glass,95,5,false,黄绿色染色玻璃
minecraft:stained_glass,95,6,false,粉红色染色玻璃
minecraft:stained_glass,95,7,false,灰色染色玻璃
minecraft:stained_glass,95,8,false,淡灰色染色玻璃
minecraft:stained_glass,95,9,false,青色染色玻璃
minecraft:stained_glass,95,10,false,紫色染色玻璃
minecraft:stained_glass,95,11,false,蓝色染色玻璃
minecraft:stained_glass,95,12,false,棕色染色玻璃
minecraft:stained_glass,95,13,false,绿色染色玻璃
minecraft:stained_glass,95,14,false,红色染色玻璃
minecraft:stained_glass,95,15,false,黑色染色玻璃
minecraft:trapdoor,96,0,false,活板门
minecraft:monster_egg,97,0,false,石头怪物蛋
minecraft:monster_egg,97,1,false,圆石怪物蛋
minecraft:monster_egg,97,2,false,石砖怪物蛋
minecraft:monster_egg,97,3,false,苔石砖怪物蛋
minecraft:monster_egg,97,4,false,裂石砖怪物蛋
minecraft:monster_egg,97,5,false,錾制石砖怪物蛋
minecraft:stonebrick,98,0,false,石砖
minecraft:stonebrick,98,1,false,苔石砖
minecraft:stonebrick,98,2,false,裂石砖
minecraft:stonebrick,98,3,false,錾制石砖
minecraft:brown_mushroom_block,99,0,false,蘑菇
minecraft:red_mushroom_block,100,0,false,蘑菇
minecraft:iron_bars,101,0,false,铁栏杆
minecraft:glass_pane,102,0,false,玻璃板
minecraft:melon_block,103,0,false,西瓜
minecraft:vine,106,0,false,藤蔓
minecraft:fence_gate,107,0,false,橡木栅栏门
minecraft:fence_gate,107,0,false,橡木栅栏门
minecraft:brick_stairs,108,0,false,砖楼梯
minecraft:stone_brick_stairs,109,0,false,石砖楼梯
minecraft:mycelium,110,0,false,菌丝
minecraft:waterlily,111,0,false,睡莲
